,year,region,yield
0,2023,Asahi,1.4128608428159384
1,2022,Asahi,1.0632667755469427
2,2021,Asahi,1.0923996144860255
3,2020,Asahi,0.917602580851528
4,2019,Asahi,0.0436174126790391
5,2018,Asahi,0.888469741912445
6,2017,Asahi,1.03413393660786
7,2016,Asahi,1.3837280038768554
8,2015,Asahi,0.8302040640342792
9,2014,Asahi,1.5002593596331872
10,2013,Asahi,1.4128608428159384
11,2012,Asahi,1.3545951649377723
12,2011,Asahi,0.0727502516181221
13,2010,Asahi,1.03413393660786
14,2009,Asahi,0.3640786410089517
15,2008,Asahi,1.3545951649377723
16,2007,Asahi,0.5680085135825325
17,2006,Asahi,-0.3059766545899563
18,2005,Asahi,1.0923996144860255
19,2004,Asahi,1.7915877490240169
20,2003,Asahi,-0.4807736882244541
21,2002,Asahi,0.1018830905572051
22,2001,Asahi,0.3349458020698688
23,2000,Asahi,1.0632667755469427
24,1999,Asahi,0.3058129631307858
25,1998,Asahi,-0.6847035607980348
26,1997,Asahi,0.5097428357043665
27,1996,Asahi,-0.2477109767117904
28,1995,Asahi,-0.53903936610262
29,1994,Asahi,0.9467354197906108
30,1993,Asahi,-3.1609948706200863
31,2023,Ichihara,-0.2185781377727074
32,2022,Ichihara,-0.5973050439807859
33,2021,Ichihara,-0.1894452988336245
34,2020,Ichihara,-0.3642423324681222
35,2019,Ichihara,-0.8303677554934495
36,2018,Ichihara,-0.4516408492853711
37,2017,Ichihara,-0.3642423324681222
38,2016,Ichihara,-0.568172205041703
39,2015,Ichihara,-0.5973050439807859
40,2014,Ichihara,0.1018830905572051
41,2013,Ichihara,-0.3933751714072052
42,2012,Ichihara,-0.4807736882244541
43,2011,Ichihara,-0.1603124598945415
44,2010,Ichihara,-1.0342976280670304
45,2009,Ichihara,-1.209094661701528
46,2008,Ichihara,0.7719383861561132
47,2007,Ichihara,-0.8886334333716155
48,2006,Ichihara,-0.9177662723106984
49,2005,Ichihara,-0.53903936610262
50,2004,Ichihara,0.0436174126790391
51,2003,Ichihara,-1.4712902121532747
52,2002,Ichihara,-1.5295558900314403
53,2001,Ichihara,-1.238227500640611
54,2000,Ichihara,-0.1311796209554585
55,1999,Ichihara,-0.9760319501888644
56,1998,Ichihara,-2.053946990934934
57,1997,Ichihara,-0.7138363997371178
58,1996,Ichihara,-1.150828983823362
59,1995,Ichihara,-2.141345507752183
60,1994,Ichihara,-1.3547588563969428
61,1993,Ichihara,-3.8310501662189944
62,2023,Katori,1.2089309702423576
63,2022,Katori,0.8593369029733621
64,2021,Katori,0.917602580851528
65,2020,Katori,0.7136727082779473
66,2019,Katori,-0.3351094935290393
67,2018,Katori,0.6845398693388643
68,2017,Katori,0.8010712250951961
69,2016,Katori,1.2671966481205237
70,2015,Katori,0.5388756746434495
71,2014,Katori,1.3545951649377723
72,2013,Katori,1.1797981313032746
73,2012,Katori,1.2089309702423576
74,2011,Katori,-0.0437811041382096
75,2010,Katori,0.7428055472170302
76,2009,Katori,0.9467354197906108
77,2008,Katori,1.1797981313032746
78,2007,Katori,0.5097428357043665
79,2006,Katori,-0.6555707218589518
80,2005,Katori,0.3932114799480347
81,2004,Katori,1.312694444985514
82,2003,Katori,-0.6450331120864709
83,2002,Katori,-0.0710985526399919
84,2001,Katori,0.0801215612010624
85,2000,Katori,0.9496859294490828
86,1999,Katori,0.1648153363042222
87,1998,Katori,-1.0627567798286228
88,1997,Katori,0.2758154743889197
89,1996,Katori,-0.2414538845674798
90,1995,Katori,-0.7741282404818913
91,1994,Katori,0.2395530477129317
92,1993,Katori,-3.0004642816367406
93,2023,Narita,0.2766801241917028
94,2022,Narita,-0.0729139430772926
95,2021,Narita,0.2475472852526199
96,2020,Narita,-0.1894452988336245
97,2019,Narita,-0.4516408492853711
98,2018,Narita,-0.0437811041382096
99,2017,Narita,0.0144845737399562
100,2016,Narita,0.3058129631307858
101,2015,Narita,0.160148768435371
102,2014,Narita,0.6554070303997813
103,2013,Narita,0.5388756746434495
104,2012,Narita,0.3640786410089517
105,2011,Narita,0.131015929496288
106,2010,Narita,0.4223443188871176
107,2009,Narita,0.0144845737399562
108,2008,Narita,0.3349458020698688
109,2007,Narita,-0.1020467820163756
110,2006,Narita,-0.8303677554934495
111,2005,Narita,0.3640786410089517
112,2004,Narita,0.4806099967652836
113,2003,Narita,-1.4421573732141917
114,2002,Narita,-0.2768438156508733
115,2001,Narita,-0.3642423324681222
116,2000,Narita,0.3058129631307858
117,1999,Narita,-0.3642423324681222
118,1998,Narita,-1.8500171183613532
119,1997,Narita,-0.509906527163537
120,1996,Narita,-0.8303677554934495
121,1995,Narita,-1.0634304670061132
122,1994,Narita,-0.3642423324681222
123,1993,Narita,-3.248393387437335
124,2023,Sanmu,1.0632667755469427
125,2022,Sanmu,0.7136727082779473
126,2021,Sanmu,0.7428055472170302
127,2020,Sanmu,0.5388756746434495
128,2019,Sanmu,-0.3351094935290393
129,2018,Sanmu,0.5388756746434495
130,2017,Sanmu,0.6845398693388643
